age,ast,awards,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,games,games_started,mp,name_display,orb,pf,pos,pts,stl,team_name_abbr,tov,trb
31,113,,19,213,.629,138,111,.631,176,27,.415,65,.573,241,47,.770,61,61,0,1216,Larry Nance Jr.,94,98,C,350,61,NOP,49,307
28,49,,33,215,.532,123,88,.587,150,35,.307,114,.466,264,66,.702,94,50,1,872,Christian Wood,39,72,PF,347,16,LAL,50,254
25,120,,15,82,.479,154,150,.487,308,4,.222,18,.472,326,23,.697,33,43,18,910,Markelle Fultz,56,65,PG,335,42,ORL,50,138
28,67,,61,143,.702,142,141,.698,202,1,1.000,1,.700,203,49,.907,54,63,7,983,Luke Kornet,118,77,C,334,23,BOS,21,261
27,133,,29,276,.597,139,139,.599,232,0,.000,1,.597,233,56,.675,83,74,36,1195,Kevon Looney,143,155,C,334,28,GSW,50,419
26,46,,16,153,.561,123,95,.633,150,28,.298,94,.504,244,58,.906,64,51,12,859,Chimezie Metu,41,71,C,332,43,2TM,52,194
26,54,,10,46,.527,118,65,.556,117,53,.338,157,.431,274,38,.826,46,46,5,726,Landry Shamet,16,76,SG,327,25,WAS,30,62
27,37,,8,75,.644,103,18,.545,33,85,.440,193,.456,226,34,.810,42,66,5,992,Garrison Mathews,17,115,SG,325,20,ATL,19,92
29,93,,9,148,.568,131,75,.540,139,56,.397,141,.468,280,7,.500,14,69,1,1029,Kenrich Williams,61,101,PF,325,38,OKC,32,209
31,23,,24,145,.578,110,79,.642,123,31,.330,94,.507,217,71,.772,92,50,0,705,Chris Boucher,62,68,PF,322,14,TOR,28,207
35,128,,38,178,.596,116,43,.606,71,73,.395,185,.453,256,15,.714,21,60,38,1529,Nicolas Batum,70,109,PF,320,48,2TM,40,248
20,91,,21,106,.540,115,78,.510,153,37,.394,94,.466,247,49,.613,80,69,33,1164,Anthony Black,33,110,PG,316,35,ORL,56,139
34,36,,13,111,.530,116,68,.469,145,48,.403,119,.439,264,36,.818,44,49,7,817,Marcus Morris,23,74,PF,316,15,2TM,30,134
33,66,,9,130,.530,114,56,.538,104,58,.349,166,.422,270,26,.722,36,50,25,1156,Jae Crowder,31,74,PF,312,38,MIL,23,161
24,79,,72,177,.608,126,124,.636,195,2,.143,14,.603,209,57,.655,87,62,33,957,Goga Bitadze,109,107,C,311,32,ORL,44,286
24,85,,29,92,.612,107,37,.578,64,70,.417,168,.461,232,26,.743,35,57,21,978,Keon Ellis,32,112,SG,310,51,SAC,37,124
33,58,,21,148,.550,108,48,.490,98,60,.392,153,.430,251,27,.750,36,53,14,1049,Torrey Craig,69,110,SF,303,30,CHI,32,217
23,33,,29,142,.720,126,126,.754,167,0,.000,8,.720,175,51,.622,82,70,5,877,Jaxson Hayes,69,123,C,303,34,LAL,43,211
21,51,,10,85,.513,101,67,.523,128,34,.333,102,.439,230,66,.776,85,59,14,882,Bryce McGowens,17,74,SG,302,21,CHO,30,102
19,59,,7,54,.500,113,50,.350,143,63,.432,146,.391,289,13,.867,15,51,0,729,Nick Smith Jr.,18,55,SG,302,10,CHO,39,72
36,203,,5,124,.590,99,29,.439,66,70,.435,161,.436,227,28,.824,34,68,0,1169,Joe Ingles,18,88,SF,296,43,ORL,67,142
27,43,,25,181,.584,96,17,.567,30,79,.391,202,.414,232,20,.769,26,54,32,1108,Dean Wade,37,93,PF,291,40,CLE,20,218
31,35,,12,52,.556,92,16,.471,34,76,.380,200,.393,234,30,.909,33,43,1,674,DÄvis BertÄns,9,56,PF,290,26,2TM,18,61
22,205,,20,108,.452,117,95,.455,209,22,.297,74,.413,283,33,.660,50,42,31,1008,Killian Hayes,11,75,PG,289,36,DET,51,119
23,118,,15,88,.535,116,104,.536,194,12,.353,34,.509,228,41,.732,56,51,6,649,Craig Porter Jr.,21,40,PG,285,21,CLE,45,109
20,60,,17,127,.515,103,61,.496,123,42,.356,118,.427,241,36,.783,46,67,7,944,Max Christie,15,57,SG,284,20,LAL,35,142
25,77,,44,141,.470,121,101,.510,198,20,.247,81,.434,279,22,.440,50,54,15,974,Xavier Tillman Sr.,70,75,PF,284,51,2TM,34,211
