,Player,Cluster
245,Chimezie Metu,4
246,Jordan Goodwin,3
247,David Roddy,3
248,Jeff Green,4
249,Isaiah Jackson,4
250,Marcus Morris,4
251,Kyle Anderson,3
252,Chris Boucher,4
253,Bruno Fernando,4
254,Daniel Theis,4
255,Patrick Beverley,3
256,Jae Crowder,3
257,Haywood Highsmith,3
258,Kris Murray,3
259,Nick Smith Jr.,1
260,Ochai Agbaji,3
261,Dyson Daniels,3
262,Danilo Gallinari,1
263,Torrey Craig,4
264,Larry Nance Jr.,4
265,Pat Connaughton,4
266,Craig Porter Jr.,4
267,Malachi Flynn,1
268,Doug McDermott,1
269,Gary Payton II,4
270,Kris Dunn,3
271,Keon Ellis,4
272,Cam Reddish,3
273,Matisse Thybulle,3
274,Sasha Vezenkov,1
275,Dean Wade,4
276,Xavier Tillman Sr.,3
277,Nicolas Batum,3
278,Luke Kornet,4
279,Davion Mitchell,1
280,Mason Plumlee,3
281,Bol Bol,4
282,Seth Curry,1
283,Drew Eubanks,4
284,Bryce McGowens,1
285,Goga Bitadze,3
286,Jevon Carter,1
287,Jalen Wilson,1
288,Jock Landale,4
289,Garrison Mathews,1
290,Eugene Omoruyi,1
291,Kenrich Williams,1
292,Anthony Black,1
293,Josh Okogie,1
294,Omer Yurtseven,3
295,Shake Milton,1
296,Delon Wright,1
297,A.J. Green,1
298,Kevon Looney,3
299,Julian Strawther,1
300,Mo Bamba,4
301,MarJon Beauchamp,1
302,Joe Ingles,1
303,Maxi Kleber,4
304,Ben Sheppard,1
305,Blake Wesley,1
306,Jaxson Hayes,4
307,Caleb Houstan,1
308,John Konchar,3
309,Jacob Gilyard,1
310,Troy Brown Jr.,1
311,Max Christie,1
312,Sandro Mamukelashvili,1
313,Luka Å amaniÄ,1
314,Jae'Sean Tate,1
315,Justin Holiday,1
316,JaVale McGee,1
317,Svi Mykhailiuk,1
318,Jaylin Williams,1
319,Chris Duarte,1
320,Anthony Gill,1
321,KJ Martin,1
322,Keita Bates-Diop,1
323,Oshae Brissett,1
324,Jordan McLaughlin,1
325,Nassir Little,1
326,Jalen McDaniels,1
327,Jaden Springer,1
328,Dwight Powell,4
329,Tristan Thompson,1
330,A.J. Lawson,1
331,Zeke Nnaji,1
332,Ish Smith,1
333,JT Thor,1
334,Dalen Terry,1
335,Mike Muscala,1
336,Johnny Davis,1
337,Alex Len,4
338,Chuma Okeke,1
339,Reggie Bullock,1
340,Andre Jackson Jr.,1
341,Kobe Brown,1
342,Cody Zeller,1
343,Kessler Edwards,1
