age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
21,2.8,"MVP-2,AS,NBA1",1.0,6.3,.514,.506,8.1,16.1,.365,1.6,4.3,.476,9.7,20.3,.900,9.2,10.2,82,82,39.5,Kevin Durant,1.3,2.1,SF,30.1,1.4,OKC,3.3,7.6
25,8.6,"MVP-1,DPOY-4,AS,NBA1",1.0,6.4,.545,.560,8.4,15.0,.333,1.7,5.1,.503,10.1,20.1,.767,7.8,10.2,76,76,39.0,LeBron James,0.9,1.6,SF,29.7,1.6,CLE,3.4,7.3
25,3.2,"MVP-6,AS,NBA2",0.4,4.4,.478,.478,9.1,19.1,.316,0.9,2.7,.458,10.0,21.8,.830,7.4,8.9,69,69,38.2,Carmelo Anthony,2.2,3.3,SF,28.2,1.3,DEN,3.0,6.6
31,5.0,"MVP-3,DPOY-12,AS,NBA1",0.3,4.3,.488,.487,8.5,17.4,.329,1.4,4.1,.456,9.8,21.5,.811,6.0,7.4,73,73,38.8,Kobe Bryant,1.1,2.6,SG,27.0,1.5,LAL,3.2,5.4
28,6.5,"MVP-5,DPOY-10,AS,NBA1",1.1,3.5,.500,.509,8.4,16.5,.300,0.9,3.2,.476,9.3,19.6,.761,6.9,9.1,77,77,36.3,Dwyane Wade,1.4,2.4,SG,26.6,1.8,MIA,3.3,4.8
24,5.3,,0.4,3.3,.476,.470,8.7,18.4,.338,1.2,3.6,.449,9.9,22.0,.753,4.6,6.1,64,64,41.4,Monta Ellis,0.7,3.0,SG,25.5,2.2,GSW,3.8,4.0
31,2.7,"MVP-7,AS,NBA2",1.0,6.7,.498,.487,8.3,17.0,.421,0.6,1.5,.481,8.9,18.5,.915,6.6,7.2,81,80,37.5,Dirk Nowitzki,1.0,2.6,PF,25.0,0.9,DAL,1.8,7.7
26,2.8,,0.8,4.4,.498,.471,5.3,11.3,.361,2.5,7.1,.428,7.9,18.4,.848,5.9,6.9,62,62,36.7,Danny Granger,1.1,3.0,SF,24.1,1.5,IND,2.5,5.5
25,2.4,"MVP-12,AS",1.0,7.9,.522,.521,8.5,16.2,.364,0.1,0.3,.518,8.6,16.5,.797,6.7,8.4,70,70,36.1,Chris Bosh,2.9,2.4,C,24.0,0.6,TOR,2.4,10.8
27,1.0,"MVP-10,AS,NBA2",1.0,6.1,.557,.559,8.6,15.3,.167,0.0,0.1,.557,8.6,15.4,.771,5.9,7.7,82,82,34.6,Amar'e Stoudemire,2.8,3.4,PF,23.1,0.6,PHO,2.6,8.9
25,4.7,"AS,NBA3",0.2,3.3,.508,.512,6.4,12.6,.330,1.1,3.4,.473,7.6,16.0,.780,5.3,6.8,65,65,37.2,Brandon Roy,1.1,2.1,SG,21.5,0.9,POR,2.0,4.4
28,4.9,"MVP-12,AS,NBA3",0.1,3.7,.505,.488,6.7,13.6,.369,1.7,4.6,.458,8.4,18.2,.818,2.9,3.5,76,76,38.0,Joe Johnson,1.0,1.9,SG,21.3,1.1,ATL,1.9,4.6
28,1.8,AS,0.4,7.7,.494,.496,7.9,15.9,.288,0.2,0.6,.488,8.0,16.5,.778,4.5,5.7,81,81,37.7,Zach Randolph,4.1,2.8,PF,20.8,1.0,MEM,2.1,11.7
21,6.0,AS,0.3,2.9,.495,.500,8.4,16.8,.267,0.2,0.8,.489,8.6,17.6,.766,3.3,4.3,78,78,36.8,Derrick Rose,0.8,1.2,PG,20.8,0.7,CHI,2.8,3.8
