age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
22,2.7,"MVP-5,AS,NBA1",1.0,6.1,.509,.504,7.3,14.4,.350,1.9,5.3,.462,9.1,19.7,.880,7.6,8.7,78,78,38.9,Kevin Durant,0.7,2.0,SF,27.7,1.1,OKC,2.8,6.8
26,7.0,"MVP-3,DPOY-9,AS,NBA1",0.6,6.5,.541,.552,8.4,15.3,.330,1.2,3.5,.510,9.6,18.8,.759,6.4,8.4,79,79,38.8,LeBron James,1.0,2.1,SF,26.7,1.6,MIA,3.6,7.5
26,2.9,AS,0.6,5.8,.487,.470,7.6,16.3,.378,1.2,3.3,.455,8.9,19.5,.838,6.6,7.9,77,77,35.7,Carmelo Anthony,1.5,2.9,SF,25.6,0.9,2TM,2.7,7.3
29,4.6,"MVP-7,DPOY-16,AS,NBA2",1.1,4.8,.523,.534,8.3,15.5,.306,0.8,2.7,.500,9.1,18.2,.758,6.5,8.6,76,76,37.1,Dwyane Wade,1.6,2.6,SG,25.5,1.5,MIA,3.1,6.4
32,4.7,"MVP-4,DPOY-11,AS,NBA1",0.1,4.1,.487,.487,7.6,15.6,.323,1.4,4.3,.451,9.0,20.0,.828,5.9,7.1,82,82,33.9,Kobe Bryant,1.0,2.1,SG,25.3,1.2,LAL,3.0,5.1
28,2.6,"MVP-9,AS,NBA2",1.9,5.6,.505,.503,9.4,18.7,.435,0.1,0.3,.502,9.5,19.0,.792,6.1,7.7,78,78,36.8,Amar'e Stoudemire,2.5,3.5,C,25.3,0.9,NYK,3.2,8.2
22,7.7,"MVP-1,AS,NBA1",0.6,3.1,.485,.481,7.2,15.0,.332,1.6,4.8,.445,8.8,19.7,.858,5.9,6.9,81,81,37.4,Derrick Rose,1.0,1.7,PG,25.0,1.0,CHI,3.4,4.1
25,5.6,,0.3,3.0,.493,.478,7.4,15.4,.361,1.7,4.7,.451,9.1,20.1,.789,4.3,5.4,80,80,40.3,Monta Ellis,0.6,2.5,SG,24.1,2.1,GSW,3.2,3.5
27,2.5,,0.2,2.9,.506,.467,4.7,10.1,.383,2.2,5.7,.436,6.9,15.8,.888,7.4,8.4,80,80,32.5,Kevin Martin,0.4,1.9,SG,23.5,1.0,HOU,2.3,3.2
32,2.6,"MVP-6,AS,NBA2",0.6,6.3,.545,.538,7.5,13.8,.393,0.9,2.3,.517,8.4,16.2,.892,5.4,6.1,73,73,34.3,Dirk Nowitzki,0.7,2.4,PF,23.0,0.5,DAL,1.9,7.0
