age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
32,5.8,"MVP-3,AS,NBA1",0.1,5.0,.605,.569,5.1,9.0,.421,5.3,12.7,.482,10.4,21.7,.916,5.7,6.3,63,63,34.2,Stephen Curry,0.5,1.9,PG,32.0,1.2,GSW,3.4,5.5
27,4.4,"AS,NBA3",0.4,3.5,.532,.535,9.0,16.8,.349,2.2,6.2,.485,11.2,23.0,.889,6.8,7.7,60,60,35.8,Bradley Beal,1.2,2.3,SG,31.3,1.2,WAS,3.1,4.7
30,7.5,"MVP-7,AS,NBA2",0.3,3.7,.554,.519,4.9,9.4,.391,4.1,10.5,.451,9.0,19.9,.928,6.7,7.2,67,67,35.8,Damian Lillard,0.5,1.5,PG,28.8,0.9,POR,3.0,4.2
26,2.8,"MVP-2,DPOY-7,AS,NBA2",1.4,8.4,.545,.541,7.9,14.6,.377,1.1,3.0,.513,9.0,17.6,.859,9.2,10.7,51,51,31.1,Joel Embiid,2.2,2.4,C,28.5,1.0,PHI,3.1,10.6
26,5.9,"MVP-4,DPOY-5,AS,NBA1",1.2,9.4,.600,.636,9.2,14.4,.303,1.1,3.6,.569,10.3,18.0,.685,6.5,9.5,61,61,33.0,Giannis Antetokounmpo,1.6,2.8,PF,28.1,1.2,MIL,3.4,11.0
21,8.6,"MVP-6,AS,NBA1",0.5,7.2,.550,.567,6.9,12.2,.350,2.9,8.3,.479,9.8,20.5,.730,5.2,7.1,66,66,34.3,Luka DonÄiÄ,0.8,2.3,PG,27.7,1.0,DAL,4.3,8.0
25,4.9,AS,0.5,4.4,.596,.571,6.4,11.1,.419,3.4,8.2,.507,9.8,19.4,.849,4.4,5.1,58,58,35.1,Zach LaVine,0.6,2.4,SG,27.4,0.8,CHI,3.5,5.0
20,3.7,AS,0.6,4.5,.616,.622,10.2,16.4,.294,0.2,0.6,.611,10.4,17.0,.698,6.0,8.7,61,61,33.2,Zion Williamson,2.7,2.2,PF,27.0,0.9,NOP,2.7,7.2
28,6.0,"AS,NBA3",0.7,3.8,.576,.561,7.4,13.1,.402,2.8,7.0,.506,10.2,20.1,.922,3.7,4.0,54,54,34.9,Kyrie Irving,1.0,2.6,PG,26.9,1.4,BRK,2.4,4.8
25,8.3,"MVP-1,AS,NBA1",0.7,8.0,.602,.606,8.9,14.7,.388,1.3,3.3,.566,10.2,18.0,.868,4.8,5.5,72,72,34.6,Nikola JokiÄ,2.8,2.7,C,26.4,1.3,DEN,3.1,10.8
24,5.2,AS,0.3,3.5,.520,.476,5.7,11.9,.386,3.4,8.7,.438,9.0,20.6,.845,5.0,6.0,53,53,33.4,Donovan Mitchell,0.9,2.2,PG,26.4,1.0,UTA,2.8,4.4
22,4.3,AS,0.5,6.6,.530,.502,6.5,13.0,.386,2.9,7.6,.459,9.5,20.6,.868,4.6,5.3,64,64,35.8,Jayson Tatum,0.8,1.9,SF,26.4,1.2,BOS,2.7,7.4
24,4.3,AS,0.2,3.7,.533,.543,7.4,13.7,.340,1.9,5.5,.484,9.3,19.2,.867,5.1,5.9,67,67,33.9,Devin Booker,0.5,2.7,SG,25.6,0.8,PHO,3.1,4.2
22,9.4,,0.2,3.3,.499,.491,5.6,11.3,.343,2.2,6.3,.438,7.7,17.7,.886,7.7,8.7,63,63,33.7,Trae Young,0.6,1.8,PG,25.3,0.8,ATL,4.1,3.9
23,7.2,,0.5,2.9,.523,.539,7.3,13.6,.322,1.8,5.5,.477,9.1,19.1,.719,5.2,7.2,58,58,35.1,De'Aaron Fox,0.6,2.9,PG,25.2,1.5,SAC,3.0,3.5
36,7.8,"MVP-13,AS,NBA2",0.6,7.0,.576,.591,7.1,12.0,.365,2.3,6.3,.513,9.4,18.3,.698,4.0,5.7,45,45,33.4,LeBron James,0.6,1.6,PG,25.0,1.1,LAL,3.7,7.7
29,5.2,"MVP-13,AS,NBA1",0.4,5.4,.568,.557,7.0,12.6,.398,1.9,4.9,.512,8.9,17.5,.885,5.0,5.7,52,52,34.1,Kawhi Leonard,1.1,1.6,SF,24.8,1.6,LAC,2.0,6.5
25,4.5,,1.1,7.9,.555,.541,6.1,11.2,.387,2.4,6.3,.486,8.5,17.5,.859,5.3,6.2,50,50,33.8,Karl-Anthony Towns,2.7,3.7,C,24.8,0.8,MIN,3.2,10.6
24,3.4,AS,0.6,4.8,.558,.536,6.5,12.1,.397,2.8,7.1,.484,9.3,19.2,.764,3.3,4.3,58,58,34.5,Jaylen Brown,1.2,2.9,SG,24.7,1.2,BOS,2.7,6.0
31,10.8,"MVP-13,AS",0.8,7.1,.548,.553,5.0,9.1,.362,2.8,7.6,.466,7.8,16.7,.861,6.3,7.3,44,43,36.6,James Harden,0.8,2.3,PG,24.6,1.2,2TM,4.0,7.9
22,4.4,,0.2,2.2,.519,.508,7.1,14.0,.371,1.6,4.4,.475,8.8,18.4,.815,5.2,6.4,60,60,35.3,Collin Sexton,1.0,2.6,SG,24.3,1.0,CLE,2.8,3.1
26,6.0,"MVP-8,MIP-1,AS,NBA2",0.3,9.0,.516,.474,6.2,13.1,.411,2.3,5.5,.456,8.5,18.6,.811,4.9,6.0,71,71,37.6,Julius Randle,1.2,3.2,PF,24.1,0.9,NYK,3.4,10.2
23,4.9,,0.6,4.3,.531,.510,6.1,11.9,.381,2.3,6.1,.466,8.4,18.0,.878,4.6,5.2,61,61,34.3,Brandon Ingram,0.6,2.0,SF,23.8,0.7,NOP,2.5,4.9
30,3.8,AS,0.7,9.6,.540,.513,7.0,13.7,.400,2.5,6.3,.477,9.5,19.9,.840,1.9,2.2,70,70,33.5,Nikola VuÄeviÄ,2.1,2.0,C,23.4,0.9,2TM,1.8,11.7
30,5.2,"AS,NBA3",0.4,5.8,.557,.510,5.1,9.9,.411,3.2,7.7,.467,8.2,17.6,.868,3.7,4.2,54,54,33.7,Paul George,0.8,2.4,SF,23.3,1.1,LAC,3.3,6.6
29,4.7,,0.4,3.3,.554,.509,5.0,9.9,.402,3.6,8.9,.458,8.6,18.8,.812,2.3,2.8,47,47,34.0,CJ McCollum,0.6,1.9,SG,23.1,0.9,POR,1.4,3.9
26,2.8,,1.1,4.0,.491,.473,5.3,11.2,.350,2.1,6.1,.429,7.4,17.3,.845,5.4,6.4,54,54,33.9,Jerami Grant,0.6,2.3,SF,22.3,0.6,DET,2.0,4.6
32,11.7,MVP-11,0.4,9.9,.474,.475,7.0,14.8,.315,1.3,4.2,.439,8.4,19.0,.656,4.2,6.4,65,65,36.4,Russell Westbrook,1.7,2.9,PG,22.2,1.4,WAS,4.8,11.5
31,6.9,,0.2,3.6,.505,.515,7.1,13.9,.257,0.3,1.2,.495,7.5,15.1,.880,6.3,7.2,61,61,33.7,DeMar DeRozan,0.7,2.1,PF,21.6,0.9,SAS,2.0,4.2
31,7.1,"DPOY-10,NBA3",0.3,5.1,.514,.538,6.6,12.2,.245,0.5,2.0,.497,7.0,14.2,.863,6.9,8.0,52,52,33.6,Jimmy Butler,1.8,1.4,SF,21.5,2.1,MIA,2.1,6.9
26,4.5,,0.7,5.5,.493,.509,6.5,12.8,.297,1.3,4.4,.455,7.8,17.2,.827,4.4,5.4,56,56,35.8,Pascal Siakam,1.7,3.1,PF,21.4,1.1,TOR,2.3,7.2
28,5.9,,0.3,4.2,.527,.493,5.3,10.8,.388,2.6,6.7,.453,7.9,17.5,.864,2.7,3.2,56,56,34.5,Malcolm Brogdon,1.0,2.0,PG,21.2,0.9,IND,2.1,5.3
23,4.8,,0.3,3.3,.559,.523,5.2,9.9,.408,2.7,6.6,.477,7.9,16.5,.869,2.8,3.2,48,48,35.5,Jamal Murray,0.8,2.0,PG,21.2,1.3,DEN,2.3,4.0
25,1.7,,1.2,7.8,.574,.581,6.1,10.6,.374,1.9,5.0,.514,8.0,15.6,.631,3.0,4.8,41,41,32.3,Christian Wood,1.9,2.1,C,21.0,0.8,HOU,2.0,9.6
29,5.4,,0.1,5.2,.546,.508,5.3,10.4,.414,2.2,5.4,.476,7.5,15.8,.898,3.1,3.5,68,68,33.4,Khris Middleton,0.8,2.4,SF,20.4,1.1,MIL,2.6,6.0
26,4.2,,0.4,3.7,.548,.512,4.2,8.2,.389,3.2,8.3,.450,7.4,16.4,.817,2.4,2.9,69,69,34.5,Terry Rozier,0.7,1.7,SG,20.4,1.3,CHO,1.9,4.4
24,6.7,AS,0.5,9.5,.564,.582,7.0,12.0,.321,0.8,2.6,.535,7.8,14.6,.732,3.9,5.3,62,62,36.0,Domantas Sabonis,2.4,3.3,PF,20.3,1.2,IND,3.4,12.0
26,5.2,,0.6,3.9,.493,.495,5.9,11.8,.326,1.8,5.5,.441,7.6,17.3,.811,3.1,3.8,47,39,31.6,Caris LeVert,0.7,2.2,SG,20.2,1.4,2TM,2.2,4.6
25,1.6,,1.3,7.0,.547,.536,5.3,9.9,.376,2.3,6.0,.476,7.6,15.9,.855,2.7,3.2,43,43,30.9,Kristaps PorziÅÄ£is,1.9,2.7,C,20.1,0.5,DAL,1.2,8.9
30,4.1,,0.3,5.0,.537,.499,5.1,10.3,.415,1.9,4.7,.473,7.1,15.0,.843,3.5,4.2,44,44,34.0,Gordon Hayward,0.8,1.7,SF,19.6,1.2,CHO,2.1,5.9
26,6.3,,0.7,3.6,.489,.416,3.2,7.6,.366,3.3,9.2,.389,6.5,16.7,.885,3.3,3.7,52,52,36.5,Fred VanVleet,0.6,2.3,SG,19.6,1.7,TOR,1.8,4.2
28,3.5,,0.8,5.8,.556,.546,6.3,11.5,.394,1.3,3.4,.512,7.6,14.9,.892,2.9,3.3,62,62,32.5,Tobias Harris,1.0,1.9,PF,19.5,0.9,PHI,1.7,6.8
19,2.9,ROY-2,0.5,3.8,.488,.483,4.6,9.6,.329,2.4,7.2,.417,7.0,16.8,.776,2.9,3.8,72,55,32.1,Anthony Edwards,0.8,1.8,SG,19.3,1.1,MIN,2.2,4.7
30,4.9,,0.3,3.6,.514,.486,3.7,7.5,.360,3.0,8.2,.420,6.6,15.7,.899,3.1,3.5,43,43,31.8,Kemba Walker,0.4,1.4,PG,19.3,1.1,BOS,2.0,4.0
