age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
28,5.4,"MVP-3,DPOY-24,AS,NBA1",0.5,4.7,.502,.497,8.8,17.6,.344,1.8,5.2,.463,10.6,22.8,.868,8.7,10.0,77,77,40.8,Kobe Bryant,1.0,2.7,SG,31.6,1.4,LAL,3.3,5.7
22,3.8,"MVP-15,AS,NBA3",0.4,3.8,.489,.499,10.0,20.1,.268,0.6,2.3,.476,10.6,22.4,.808,7.1,8.7,65,65,38.2,Carmelo Anthony,2.2,3.1,SF,28.9,1.2,DEN,3.6,6.0
25,6.0,"MVP-8,AS,NBA2",0.2,3.7,.484,.459,6.0,13.0,.351,2.8,7.9,.418,8.7,20.9,.844,8.2,9.7,74,73,39.8,Gilbert Arenas,0.8,3.4,PG,28.4,1.9,WAS,3.2,4.6
25,7.5,"MVP-12,AS,NBA3",1.2,3.7,.502,.511,8.8,17.3,.266,0.4,1.5,.491,9.3,18.9,.807,8.5,10.5,51,50,37.9,Dwyane Wade,1.0,2.3,SG,27.4,2.1,MIA,4.2,4.7
22,6.0,"MVP-5,AS,NBA2",0.7,5.7,.507,.513,8.6,16.8,.319,1.3,4.0,.476,9.9,20.8,.698,6.3,9.0,78,78,40.9,LeBron James,1.1,2.2,SF,27.3,1.6,CLE,3.2,6.7
27,2.3,,0.2,2.9,.522,.501,6.8,13.6,.382,2.2,5.8,.465,9.0,19.3,.829,6.5,7.8,53,53,38.4,Michael Redd,0.8,1.5,SF,26.7,1.2,MIL,2.3,3.7
31,4.1,AS,0.2,3.5,.510,.479,6.2,12.9,.372,3.0,8.1,.438,9.2,21.0,.903,5.1,5.6,55,55,40.3,Ray Allen,1.0,2.1,SG,26.4,1.5,SEA,2.8,4.5
31,7.2,AS,0.2,2.6,.466,.465,8.0,17.2,.315,1.0,3.0,.442,8.9,20.2,.795,7.5,9.4,65,64,42.5,Allen Iverson,0.4,1.5,SG,26.3,1.9,2TM,4.1,3.0
30,4.8,AS,0.4,4.6,.503,.491,7.0,14.2,.357,1.9,5.3,.454,8.9,19.5,.802,5.6,7.0,82,82,38.1,Vince Carter,1.4,3.2,SG,25.2,1.0,NJN,2.6,6.0
25,4.4,AS,0.2,3.3,.523,.504,7.3,14.5,.381,2.1,5.5,.471,9.4,20.0,.748,4.1,5.5,57,57,41.4,Joe Johnson,0.9,2.0,SG,25.0,1.1,ATL,3.1,4.2
26,2.0,"DPOY-24,AS,NBA2",2.0,7.3,.516,.518,8.8,17.0,.000,0.0,0.0,.516,8.8,17.1,.862,7.4,8.6,48,48,33.8,Yao Ming,2.1,3.3,C,25.0,0.4,HOU,3.5,9.4
29,4.1,,0.3,5.1,.502,.463,5.7,12.2,.389,2.3,5.9,.439,7.9,18.1,.796,6.8,8.6,47,46,37.0,Paul Pierce,0.8,2.6,SG,25.0,1.0,BOS,3.2,5.9
27,6.5,"MVP-6,AS,NBA2",0.5,4.5,.474,.466,7.2,15.5,.331,1.8,5.4,.431,9.0,20.8,.707,4.9,6.9,71,71,35.8,Tracy McGrady,0.8,1.9,SG,24.6,1.3,HOU,3.0,5.3
28,3.4,"MVP-1,AS,NBA1",0.8,7.3,.529,.515,7.7,15.0,.416,0.9,2.2,.502,8.6,17.2,.904,6.4,7.1,78,78,36.2,Dirk Nowitzki,1.6,2.2,PF,24.6,0.7,DAL,2.1,8.9
25,2.2,,0.2,7.2,.472,.473,8.6,18.2,.292,0.2,0.7,.467,8.8,18.9,.819,5.8,7.1,68,67,35.7,Zach Randolph,2.9,2.7,PF,23.6,0.8,POR,3.2,10.1
