age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
23,7.2,"MVP-4,AS,NBA1",1.1,6.1,.518,.531,9.1,17.1,.315,1.5,4.8,.484,10.6,21.9,.712,7.3,10.3,75,74,40.4,LeBron James,1.8,2.2,SF,30.0,1.8,CLE,3.4,7.9
29,5.4,"MVP-1,DPOY-5,AS,NBA1",0.5,5.2,.503,.490,7.6,15.5,.361,1.8,5.1,.459,9.5,20.6,.840,7.6,9.0,82,82,38.9,Kobe Bryant,1.1,2.8,SG,28.3,1.8,LAL,3.1,6.3
32,7.1,AS,0.1,2.4,.488,.482,7.5,15.6,.345,1.2,3.4,.458,8.7,19.0,.809,7.9,9.7,82,82,41.8,Allen Iverson,0.6,1.3,SG,26.4,2.0,DEN,3.0,3.0
23,3.4,"MVP-13,AS",0.5,5.1,.511,.509,8.7,17.1,.354,0.8,2.1,.492,9.5,19.2,.786,6.0,7.7,77,77,36.4,Carmelo Anthony,2.3,3.3,SF,25.7,1.3,DEN,3.3,7.4
25,1.5,"MVP-6,AS,NBA2",2.1,6.8,.592,.601,9.0,14.9,.161,0.1,0.4,.590,9.0,15.3,.805,7.0,8.7,79,79,33.9,Amar'e Stoudemire,2.3,3.7,C,25.2,0.8,PHO,2.2,9.1
26,6.9,AS,0.7,3.3,.480,.485,8.2,16.9,.286,0.4,1.5,.469,8.6,18.4,.758,6.9,9.2,51,49,38.3,Dwyane Wade,0.9,2.7,SG,24.6,1.7,MIA,4.4,4.2
24,2.1,,0.1,3.7,.515,.478,5.1,10.6,.402,1.8,4.4,.456,6.8,15.0,.869,8.2,9.5,61,57,36.3,Kevin Martin,0.8,2.5,SG,23.7,1.0,SAC,2.1,4.5
29,3.5,"MVP-11,AS,NBA2",0.9,7.3,.510,.504,7.2,14.2,.359,1.0,2.9,.479,8.2,17.1,.879,6.2,7.1,77,77,36.0,Dirk Nowitzki,1.2,2.6,PF,23.6,0.7,DAL,2.1,8.6
28,3.4,,0.2,3.1,.495,.475,5.8,12.3,.362,1.8,5.0,.442,7.6,17.3,.820,5.6,6.8,72,71,37.5,Michael Redd,1.2,1.7,SG,22.7,0.9,MIL,2.5,4.3
27,3.1,,0.3,3.0,.495,.486,6.6,13.6,.362,0.9,2.6,.466,7.5,16.2,.798,6.6,8.3,82,82,39.0,Richard Jefferson,1.1,2.7,SF,22.6,0.9,NJN,2.4,4.2
23,2.6,AS,1.0,6.1,.499,.496,7.4,15.0,.400,0.1,0.4,.494,7.6,15.3,.844,7.0,8.3,67,67,36.2,Chris Bosh,2.6,2.3,C,22.3,0.9,TOR,2.3,8.7
28,2.7,,0.1,4.5,.497,.477,5.4,11.4,.384,1.1,2.9,.458,6.5,14.3,.812,7.9,9.7,70,65,35.7,Corey Maggette,1.1,3.0,SF,22.1,1.0,LAC,2.8,5.6
27,2.3,"AS,NBA3",2.0,7.7,.507,.508,7.9,15.5,.000,0.0,0.0,.507,7.9,15.5,.850,6.3,7.4,55,55,37.2,Yao Ming,3.1,3.1,C,22.0,0.5,HOU,3.3,10.8
28,7.6,,0.5,3.5,.483,.477,5.8,12.2,.330,2.1,6.4,.426,7.9,18.6,.750,3.9,5.2,82,82,39.0,Baron Davis,1.2,3.0,PG,21.8,2.3,GSW,2.8,4.7
27,3.1,,0.7,4.4,.524,.466,4.9,10.6,.406,3.0,7.3,.441,7.9,17.9,.752,3.0,4.0,82,82,38.4,Jason Richardson,1.0,2.9,SF,21.8,1.4,CHA,2.0,5.4
26,5.8,AS,0.2,3.5,.489,.454,5.8,12.8,.381,2.1,5.4,.432,7.9,18.3,.834,3.9,4.6,82,82,40.8,Joe Johnson,1.0,2.0,SG,21.7,1.0,ATL,2.7,4.5
28,5.9,"MVP-8,NBA3",0.5,4.5,.452,.457,7.0,15.3,.292,1.3,4.5,.419,8.3,19.8,.684,3.7,5.4,66,62,37.0,Tracy McGrady,0.6,1.4,SG,21.6,1.0,HOU,2.4,5.1
31,1.5,"MVP-14,AS",0.4,7.5,.478,.468,6.3,13.5,.339,1.5,4.5,.436,7.8,17.9,.760,4.2,5.5,79,79,38.7,Antawn Jamison,2.7,2.5,PF,21.4,1.3,WAS,1.4,10.2
31,5.1,,0.4,4.5,.494,.482,6.4,13.3,.359,1.3,3.6,.456,7.7,16.9,.816,4.6,5.6,76,72,38.9,Vince Carter,1.5,3.2,SG,21.3,1.2,NJN,2.4,6.0
26,2.9,"MVP-14,AS,NBA3",0.5,8.0,.547,.547,8.8,16.0,.000,0.0,0.0,.547,8.8,16.0,.738,3.6,4.9,81,81,34.9,Carlos Boozer,2.4,3.6,PF,21.1,1.2,UTA,2.6,10.4
22,11.6,"MVP-2,DPOY-7,AS,NBA1",0.1,3.2,.524,.516,6.7,13.0,.369,1.2,3.1,.488,7.9,16.1,.851,4.2,4.9,80,80,37.6,Chris Paul,0.8,2.3,PG,21.1,2.7,NOH,2.5,4.0
23,1.4,,1.5,7.4,.500,.502,8.8,17.5,.000,0.0,0.1,.500,8.8,17.6,.721,3.5,4.8,82,82,35.6,Al Jefferson,3.8,2.7,C,21.0,0.9,MIN,2.0,11.1
