age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
27,3.8,"MVP-1,DPOY-2,AS,NBA1",3.0,9.4,.574,.575,12.1,21.1,.000,0.0,0.0,.574,12.1,21.1,.524,5.5,10.4,79,79,40.0,Shaquille O'Neal,4.3,3.2,C,29.7,0.5,LAL,2.8,13.6
24,4.7,"MVP-7,AS,NBA2",0.1,2.8,.446,.435,9.1,21.0,.341,1.3,3.7,.421,10.4,24.8,.713,6.3,8.9,70,70,40.8,Allen Iverson,1.0,2.3,SG,28.4,2.1,PHI,3.3,3.8
27,5.2,"MVP-8,AS,NBA2",0.6,5.3,.501,.500,8.9,17.9,.347,0.5,1.3,.489,9.4,19.2,.795,6.5,8.2,74,74,37.5,Grant Hill,1.3,2.6,SF,25.8,1.4,DET,3.2,6.6
23,3.9,"MVP-10,AS,NBA3",1.1,4.0,.493,.475,8.5,17.8,.403,1.2,2.9,.465,9.6,20.7,.791,5.3,6.7,82,82,38.1,Vince Carter,1.8,3.2,SF,25.7,1.3,TOR,2.2,5.8
36,3.7,"MVP-4,AS,NBA2",0.9,7.4,.510,.511,9.1,17.9,.250,0.0,0.1,.509,9.2,18.0,.797,7.2,9.0,82,82,35.9,Karl Malone,2.1,2.8,PF,25.5,1.0,UTA,2.8,9.5
26,4.6,"MVP-9,AS,NBA3",1.7,8.0,.492,.496,9.6,19.4,.284,0.4,1.3,.483,10.0,20.6,.751,4.1,5.5,75,75,38.4,Chris Webber,2.5,3.5,PF,24.5,1.6,SAC,2.9,10.5
31,8.9,"MVP-6,DPOY-5,AS,NBA1",0.2,5.2,.502,.497,7.0,14.0,.340,2.2,6.3,.448,9.1,20.3,.735,3.8,5.2,82,82,41.8,Gary Payton,1.2,2.2,PG,24.2,1.9,SEA,2.7,6.5
25,4.5,AS,0.4,2.4,.456,.462,6.5,14.1,.288,1.0,3.5,.428,7.5,17.6,.815,7.5,9.2,82,82,38.4,Jerry Stackhouse,1.4,2.3,SG,23.6,1.3,DET,3.8,3.8
23,3.2,"MVP-5,AS,NBA1",2.2,8.9,.491,.494,8.5,17.2,.091,0.0,0.1,.490,8.5,17.3,.761,6.2,8.1,74,74,38.9,Tim Duncan,3.5,2.8,PF,23.2,0.9,SAS,3.3,12.4
23,5.0,"MVP-2,DPOY-7,AS,NBA1",1.6,9.0,.507,.504,9.0,17.8,.370,0.4,1.0,.497,9.4,18.8,.765,3.8,5.0,81,81,40.0,Kevin Garnett,2.8,2.5,PF,22.9,1.5,MIN,3.3,11.8
26,5.3,"MVP-13,AS",0.4,4.8,.487,.467,7.9,16.9,.401,1.2,3.0,.457,9.1,20.0,.820,3.2,3.9,82,82,42.2,Michael Finley,1.5,2.1,SF,22.6,1.3,DAL,2.4,6.3
21,4.9,"MVP-12,DPOY-5,AS,NBA2",0.9,4.7,.488,.489,7.7,15.7,.319,0.7,2.2,.468,8.4,17.9,.821,5.0,6.1,66,62,38.2,Kobe Bryant,1.6,3.3,SG,22.5,1.6,LAL,2.8,6.3
22,8.4,NBA3,0.2,2.4,.457,.464,6.8,14.6,.283,0.9,3.1,.432,7.7,17.8,.813,5.9,7.2,74,74,38.9,Stephon Marbury,0.8,2.6,PG,22.2,1.5,NJN,3.6,3.2
24,3.8,AS,0.2,3.4,.516,.468,5.7,12.2,.423,2.1,5.0,.455,7.8,17.2,.887,4.3,4.9,82,82,37.4,Ray Allen,1.0,2.3,SG,22.1,1.3,MIL,2.2,4.4
29,1.6,"MVP-3,DPOY-1,AS,NBA2",3.7,6.8,.551,.553,8.3,14.9,.000,0.0,0.1,.551,8.3,15.0,.711,5.2,7.4,79,78,34.8,Alonzo Mourning,2.7,3.9,C,21.7,0.5,MIA,2.7,9.5
27,2.4,AS,0.5,4.7,.502,.493,7.5,15.1,.363,1.1,2.9,.472,8.5,18.0,.802,2.8,3.5,81,81,35.9,Glenn Robinson,1.3,2.6,SF,20.9,1.0,MIL,2.8,6.0
23,3.7,,0.4,5.5,.455,.471,7.0,14.9,.256,0.9,3.5,.430,7.9,18.4,.699,3.8,5.4,82,82,36.6,Antoine Walker,2.4,3.2,PF,20.5,1.4,BOS,3.2,8.0
23,3.3,,1.1,7.4,.477,.478,6.9,14.4,.302,0.4,1.2,.465,7.2,15.6,.809,5.4,6.7,82,82,39.3,Shareef Abdur-Rahim,2.7,3.0,SF,20.3,1.1,VAN,3.0,10.1
20,1.9,ROY-1,1.6,5.7,.482,.483,7.8,16.1,.000,0.0,0.0,.482,7.8,16.1,.685,4.5,6.6,81,80,37.0,Elton Brand,4.3,3.2,PF,20.1,0.8,CHI,2.8,10.0
28,4.2,"DPOY-3,AS,NBA3",0.7,3.6,.484,.450,4.9,10.8,.375,1.8,4.7,.427,6.6,15.5,.864,5.0,5.8,72,72,39.0,Eddie Jones,1.1,2.4,SG,20.1,2.7,CHH,2.2,4.8
28,2.7,AS,0.2,2.8,.525,.494,6.2,12.5,.436,1.3,3.0,.483,7.5,15.5,.838,3.4,4.1,82,82,38.6,Allan Houston,0.5,2.7,SG,19.7,0.8,NYK,2.3,3.3
23,2.1,,0.3,4.3,.472,.473,8.2,17.4,.286,0.0,0.2,.471,8.3,17.6,.611,3.0,4.8,43,41,36.2,Antawn Jamison,4.0,2.7,SF,19.6,0.7,GSW,2.6,8.3
22,3.0,,0.8,4.3,.486,.476,5.3,11.2,.343,1.3,3.8,.442,6.7,15.1,.798,4.9,6.2,73,72,35.4,Paul Pierce,1.1,3.2,SF,19.5,2.1,BOS,2.4,5.4
28,3.7,,0.1,3.3,.445,.441,6.6,14.9,.311,0.9,3.0,.419,7.5,17.9,.785,3.4,4.3,60,47,34.7,Isaiah Rider,1.1,2.2,SG,19.3,0.7,ATL,2.8,4.3
24,2.0,,0.8,6.0,.478,.462,5.9,12.9,.368,1.1,2.9,.445,7.0,15.7,.847,4.2,4.9,80,80,34.8,Keith Van Horn,2.5,3.2,PF,19.2,0.8,NJN,3.1,8.5
25,2.0,,1.7,5.6,.507,.508,7.6,14.9,.000,0.0,0.0,.507,7.6,15.0,.626,4.0,6.4,81,81,33.3,Antonio McDyess,2.9,3.9,PF,19.1,0.9,DEN,2.8,8.5
30,9.0,,0.1,2.9,.477,.481,6.4,13.3,.289,0.3,1.1,.466,6.7,14.4,.876,4.8,5.5,81,81,35.8,Sam Cassell,0.9,3.1,PG,18.6,1.3,MIL,3.3,3.7
29,4.0,,0.3,3.7,.452,.445,6.4,14.4,.346,0.5,1.5,.435,6.9,15.9,.866,4.2,4.8,82,82,40.0,Latrell Sprewell,0.6,2.2,SF,18.6,1.3,NYK,2.8,4.3
33,2.8,DPOY-8,0.8,3.2,.517,.501,5.1,10.2,.370,1.5,4.1,.464,6.6,14.3,.782,3.7,4.8,80,67,35.5,Clifford Robinson,1.3,3.0,SF,18.5,1.1,PHO,2.1,4.5
24,2.5,,0.5,2.5,.483,.444,5.3,11.9,.409,1.5,3.5,.436,6.8,15.5,.830,3.3,4.0,82,82,37.8,Michael Dickerson,1.0,2.8,SG,18.2,1.4,VAN,2.0,3.4
27,4.0,"MVP-13,MIP-1",0.6,4.3,.503,.486,6.1,12.5,.393,1.0,2.5,.471,7.0,15.0,.827,3.2,3.8,80,80,37.2,Jalen Rose,0.5,2.9,SF,18.2,1.1,IND,2.4,4.8
34,2.3,"MVP-13,AS",0.3,2.3,.527,.473,3.7,7.9,.408,2.0,5.0,.448,5.8,12.9,.919,4.6,5.0,81,81,36.9,Reggie Miller,0.6,1.6,SG,18.1,1.0,IND,1.6,3.0
22,6.6,ROY-1,0.4,3.3,.493,.483,5.1,10.5,.345,1.4,4.0,.445,6.5,14.5,.786,3.7,4.7,77,77,36.1,Steve Francis,2.0,3.0,PG,18.0,1.5,HOU,4.0,5.3
30,1.7,,1.2,6.0,.418,.418,5.9,14.1,.333,0.0,0.1,.417,5.9,14.1,.776,6.0,7.7,82,82,30.4,Shawn Kemp,2.8,4.5,C,17.8,1.2,CLE,3.5,8.8
34,1.8,"AS,NBA3",2.3,7.2,.512,.513,6.6,12.9,.000,0.0,0.0,.512,6.6,12.9,.726,4.6,6.4,80,80,32.0,David Robinson,2.4,3.1,C,17.8,1.2,SAS,2.1,9.6
27,3.9,,0.2,4.2,.493,.458,5.3,11.6,.403,1.5,3.7,.445,6.8,15.2,.778,2.4,3.1,76,76,37.2,Jamal Mashburn,0.8,2.8,SF,17.5,1.0,MIA,2.4,5.0
21,2.5,,0.8,5.2,.513,.491,4.9,9.9,.379,1.4,3.7,.461,6.3,13.6,.830,3.5,4.2,82,81,35.8,Dirk Nowitzki,1.2,3.1,PF,17.5,0.8,DAL,1.7,6.5
34,2.5,,0.2,2.4,.470,.438,4.8,10.9,.386,1.3,3.3,.426,6.0,14.2,.876,4.0,4.6,74,69,32.4,Mitch Richmond,0.5,2.6,SG,17.4,1.5,WAS,2.1,2.9
29,8.9,,0.4,2.7,.492,.476,6.1,12.8,.402,0.7,1.9,.466,6.8,14.7,.899,2.6,2.9,71,71,36.4,Terrell Brandon,0.6,2.2,PG,17.1,1.9,MIN,2.6,3.4
23,1.6,,0.8,4.9,.464,.466,7.4,15.8,.125,0.0,0.1,.464,7.4,15.9,.711,2.3,3.2,62,60,35.9,Maurice Taylor,1.5,3.5,PF,17.1,0.8,LAC,2.7,6.5
23,2.3,,0.3,2.7,.433,.431,6.5,15.2,.313,0.2,0.7,.426,6.8,15.9,.789,3.1,4.0,68,68,35.0,Ron Mercer,0.9,2.2,SG,16.9,1.1,2TM,2.2,3.7
25,3.4,,0.2,2.8,.470,.472,5.0,10.7,.309,0.9,2.8,.438,5.9,13.4,.877,4.2,4.8,64,58,34.4,Derek Anderson,1.3,2.3,SG,16.9,1.4,LAC,2.6,4.0
28,5.3,,0.6,4.3,.494,.496,5.8,11.6,.324,0.6,1.7,.474,6.3,13.3,.790,3.8,4.8,60,60,37.6,Anfernee Hardaway,1.5,2.7,SG,16.9,1.6,PHO,2.6,5.8
32,2.4,,1.8,6.9,.482,.471,5.3,11.3,.362,0.7,1.9,.456,6.0,13.2,.785,4.0,5.1,74,64,31.7,Derrick Coleman,1.7,2.6,PF,16.7,0.5,CHH,2.3,8.5
29,2.9,,0.1,3.7,.458,.418,4.9,11.8,.386,1.5,3.8,.411,6.4,15.6,.877,2.4,2.7,79,76,35.0,Jim Jackson,1.3,2.1,SF,16.7,0.7,ATL,2.3,5.0
28,1.9,,0.8,4.8,.456,.457,6.5,14.2,.250,0.0,0.1,.455,6.5,14.3,.682,3.6,5.2,79,75,36.1,Vin Baker,2.9,3.6,C,16.6,0.6,SEA,2.7,7.7
30,1.3,6MOY-3,0.3,4.2,.468,.464,5.8,12.6,.328,0.6,1.9,.446,6.5,14.5,.843,3.0,3.6,69,25,29.9,Cedric Ceballos,2.5,2.4,SF,16.6,0.8,DAL,1.8,6.7
20,4.2,ROY-3,1.3,5.7,.467,.453,5.1,11.3,.360,0.8,2.2,.438,5.9,13.5,.719,4.0,5.5,76,70,36.4,Lamar Odom,2.1,3.8,SF,16.6,1.2,LAC,3.4,7.8
25,1.8,AS,1.3,5.4,.522,.537,6.6,12.3,.160,0.1,0.6,.519,6.7,12.9,.704,2.9,4.1,81,77,35.1,Rasheed Wallace,1.6,2.7,PF,16.4,1.1,POR,1.9,7.0
31,6.1,MVP-13,0.1,2.5,.494,.485,4.2,8.7,.340,1.7,4.9,.433,5.9,13.6,.911,2.7,3.0,82,82,31.6,Darrell Armstrong,0.8,1.7,PG,16.2,2.1,ORL,3.0,3.3
28,9.0,,0.1,3.5,.445,.419,4.3,10.3,.332,1.7,5.1,.390,6.0,15.4,.817,2.5,3.0,79,79,37.3,Nick Van Exel,0.4,1.9,PG,16.1,0.9,DEN,2.8,3.9
26,1.8,,0.5,4.0,.476,.465,5.5,11.9,.367,0.7,1.9,.451,6.2,13.8,.761,2.8,3.6,74,72,32.0,Lamond Murray,1.7,2.8,SF,15.9,1.4,CLE,2.5,5.7
32,2.2,,0.2,3.4,.472,.449,4.2,9.4,.367,1.1,2.9,.430,5.3,12.3,.874,4.3,5.0,80,80,31.6,Glen Rice,0.7,2.2,SF,15.9,0.6,LAL,1.4,4.1
