age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
24,5.5,"AS,NBA2",0.6,4.6,.473,.455,7.1,15.7,.339,2.6,7.7,.417,9.7,23.4,.796,5.9,7.5,67,67,39.9,Tracy McGrady,1.4,1.9,SG,28.0,1.4,ORL,2.7,6.0
28,6.8,AS,0.1,3.0,.412,.408,7.9,19.3,.286,1.2,4.1,.387,9.1,23.4,.745,7.1,9.5,48,47,42.5,Allen Iverson,0.7,1.8,SG,26.4,2.4,PHI,4.4,3.7
27,5.0,"MVP-1,DPOY-6,AS,NBA1",2.2,10.9,.502,.506,9.7,19.1,.256,0.1,0.5,.499,9.8,19.6,.791,4.5,5.7,82,82,39.4,Kevin Garnett,3.0,2.5,PF,24.2,1.5,MIN,2.6,13.9
26,2.1,"MVP-4,AS,NBA2",0.2,5.1,.566,.511,5.2,10.3,.433,3.0,6.8,.480,8.2,17.1,.927,4.9,5.2,81,81,40.3,Peja StojakoviÄ,1.1,2.0,SF,24.2,1.3,SAC,1.9,6.3
25,5.1,"MVP-5,DPOY-10,AS,NBA1",0.4,3.9,.468,.463,6.8,14.8,.327,1.1,3.3,.438,7.9,18.1,.852,7.0,8.2,65,64,37.6,Kobe Bryant,1.6,2.7,SG,24.0,1.7,LAL,2.6,5.5
28,4.8,AS,0.2,3.9,.512,.468,5.3,11.4,.392,2.6,6.8,.440,8.0,18.2,.904,4.4,4.8,56,56,38.4,Ray Allen,1.2,2.4,SG,23.0,1.3,SEA,2.8,5.1
26,5.1,AS,0.7,5.7,.441,.438,6.1,13.9,.299,1.4,4.8,.402,7.5,18.7,.819,6.5,7.9,80,80,38.7,Paul Pierce,0.9,2.9,SG,23.0,1.6,BOS,3.8,6.5
24,7.5,"MVP-10,AS,NBA3",0.4,3.3,.462,.448,5.5,12.2,.321,2.8,8.7,.395,8.3,20.9,.673,3.5,5.3,67,66,40.1,Baron Davis,1.0,2.7,PG,22.9,2.4,NOH,3.2,4.3
27,4.8,AS,0.9,3.5,.449,.424,7.1,16.6,.383,1.3,3.3,.417,8.3,20.0,.806,4.6,5.7,73,73,38.2,Vince Carter,1.3,2.9,SG,22.5,1.2,TOR,3.1,4.8
27,3.1,"MVP-2,DPOY-7,AS,NBA1",2.7,9.2,.502,.505,8.6,16.9,.167,0.0,0.2,.501,8.6,17.1,.599,5.1,8.5,69,68,36.6,Tim Duncan,3.3,2.4,PF,22.3,0.9,SAS,2.7,12.4
25,2.7,"MVP-10,AS,NBA3",1.4,7.5,.500,.496,6.6,13.2,.341,1.3,3.8,.462,7.9,17.0,.877,4.8,5.5,77,77,37.9,Dirk Nowitzki,1.2,2.8,C,21.8,1.2,DAL,1.8,8.7
24,2.3,"MVP-14,AS,NBA3",0.1,3.5,.484,.470,6.2,13.1,.350,1.5,4.4,.440,7.7,17.5,.868,4.7,5.4,82,82,36.8,Michael Redd,1.4,1.9,SG,21.7,1.0,MIL,1.4,5.0
31,2.9,"MVP-6,DPOY-10,AS,NBA1",2.5,7.8,.584,.584,8.3,14.1,,0.0,0.0,.584,8.3,14.1,.490,4.9,10.1,67,67,36.8,Shaquille O'Neal,3.7,3.4,C,21.5,0.5,LAL,2.9,11.5
19,2.8,"MVP-14,ROY-2",0.5,3.8,.449,.444,6.8,15.3,.322,0.8,2.6,.426,7.6,17.9,.777,5.0,6.4,82,82,36.5,Carmelo Anthony,2.2,2.7,SF,21.0,1.2,DEN,3.0,6.1
19,5.9,"MVP-9,ROY-1",0.7,4.2,.438,.438,7.1,16.1,.290,0.8,2.7,.417,7.9,18.9,.754,4.4,5.8,79,79,39.5,LeBron James,1.3,1.9,SG,20.9,1.6,CLE,3.5,5.5
24,3.1,,0.2,4.6,.485,.482,5.2,10.7,.329,1.0,3.2,.447,6.2,13.9,.848,7.2,8.5,73,72,36.0,Corey Maggette,1.3,3.0,SF,20.7,0.9,LAC,2.8,5.9
21,1.4,,1.6,6.2,.476,.477,7.5,15.6,.200,0.0,0.1,.475,7.5,15.7,.713,5.6,7.9,55,53,36.8,Amar'e Stoudemire,2.9,3.4,PF,20.6,1.2,PHO,3.2,9.0
26,8.9,,0.1,2.5,.463,.460,6.3,13.7,.318,1.1,3.4,.431,7.4,17.1,.817,4.4,5.4,81,81,40.2,Stephon Marbury,0.7,2.1,PG,20.2,1.6,2TM,3.1,3.2
25,2.1,"MVP-3,AS,NBA2",2.6,7.5,.435,.438,7.8,17.7,.111,0.0,0.2,.434,7.8,17.9,.757,4.5,5.9,78,78,35.7,Jermaine O'Neal,2.5,3.2,PF,20.1,0.8,IND,2.3,10.0
22,2.0,MIP-1,0.5,7.5,.485,.486,8.2,16.8,.200,0.0,0.1,.485,8.2,16.9,.761,3.7,4.9,81,80,37.9,Zach Randolph,3.0,2.8,PF,20.1,0.8,POR,3.0,10.5
24,3.3,,2.2,6.4,.493,.493,7.0,14.2,.000,0.0,0.0,.493,7.0,14.2,.773,6.0,7.7,69,68,38.7,Elton Brand,3.9,3.3,PF,20.0,0.9,LAC,2.8,10.3
34,7.3,"MVP-10,AS,NBA2",0.2,2.8,.517,.504,6.7,13.4,.398,0.9,2.3,.488,7.7,15.7,.873,3.6,4.1,81,81,35.0,Sam Cassell,0.5,3.0,PG,19.8,1.3,MIN,2.7,3.3
22,5.0,,0.2,3.6,.460,.401,4.2,10.6,.375,2.3,6.1,.392,6.5,16.6,.748,4.3,5.8,55,52,37.6,Gilbert Arenas,1.0,3.2,PG,19.6,1.9,WAS,4.1,4.6
25,2.7,,1.3,6.6,.474,.465,6.3,13.6,.340,1.1,3.4,.440,7.5,17.0,.851,2.9,3.4,79,79,40.7,Shawn Marion,2.7,2.6,SF,19.0,2.1,PHO,2.0,9.3
25,2.4,,0.4,3.8,.437,.414,5.3,12.7,.341,1.3,3.8,.397,6.6,16.5,.797,4.4,5.5,61,61,33.8,Larry Hughes,1.6,2.4,SG,18.8,1.6,WAS,2.5,5.3
23,2.9,,0.5,5.1,.468,.481,6.2,13.0,.282,1.0,3.5,.438,7.2,16.5,.684,3.3,4.8,78,78,37.6,Jason Richardson,1.6,2.3,SG,18.7,1.1,GSW,2.5,6.7
30,2.9,,0.5,3.4,.508,.461,5.1,11.0,.405,2.1,5.1,.443,7.1,16.1,.850,2.3,2.7,72,72,38.6,Michael Finley,1.1,1.6,SG,18.6,1.2,DAL,1.2,4.5
