age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
27,7.5,"MVP-3,DPOY-3,AS,NBA1",1.3,3.9,.516,.524,9.7,18.5,.317,1.1,3.5,.491,10.8,22.0,.765,7.5,9.8,79,79,38.6,Dwyane Wade,1.1,2.3,SG,30.2,2.2,MIA,3.4,5.0
24,7.2,"MVP-1,DPOY-2,AS,NBA1",1.1,6.3,.530,.535,8.1,15.2,.344,1.6,4.7,.489,9.7,19.9,.780,7.3,9.4,81,81,37.7,LeBron James,1.3,1.7,SF,28.4,1.7,CLE,3.0,7.6
30,4.9,"MVP-2,DPOY-7,AS,NBA1",0.5,4.1,.502,.496,8.3,16.8,.351,1.4,4.1,.467,9.8,20.9,.856,5.9,6.9,82,82,36.1,Kobe Bryant,1.1,2.3,SG,26.8,1.5,LAL,2.6,5.2
30,2.4,"MVP-10,AS,NBA1",0.8,7.3,.498,.493,8.8,17.9,.359,0.8,2.1,.479,9.6,20.0,.890,6.0,6.7,81,81,37.7,Dirk Nowitzki,1.1,2.2,PF,25.9,0.8,DAL,1.9,8.4
25,2.7,"MIP-1,AS",1.4,4.4,.518,.470,5.8,12.3,.404,2.7,6.7,.447,8.5,19.1,.878,6.0,6.9,67,66,36.2,Danny Granger,0.7,3.1,SF,25.8,1.0,IND,2.5,5.1
20,2.8,,0.7,5.5,.510,.486,7.6,15.7,.422,1.3,3.1,.476,8.9,18.8,.863,6.1,7.1,74,74,39.0,Kevin Durant,1.0,1.8,SF,25.3,1.3,OKC,3.0,6.5
25,2.7,,0.2,3.0,.491,.423,4.4,10.5,.415,2.3,5.4,.420,6.7,15.9,.867,9.0,10.3,51,46,38.2,Kevin Martin,0.6,2.3,SG,24.6,1.2,SAC,2.9,3.6
24,1.6,,1.7,7.5,.497,.499,9.7,19.4,.000,0.0,0.1,.497,9.7,19.5,.738,3.7,5.0,50,50,36.7,Al Jefferson,3.4,2.8,C,23.1,0.8,MIN,1.8,11.0
24,3.4,NBA3,0.4,5.2,.469,.455,7.2,15.7,.371,1.0,2.6,.443,8.1,18.3,.793,5.6,7.1,66,66,34.5,Carmelo Anthony,1.6,3.0,SF,22.8,1.1,DEN,3.0,6.8
23,11.0,"MVP-5,DPOY-6,AS,NBA2",0.1,4.7,.528,.525,7.3,13.8,.364,0.8,2.3,.503,8.1,16.1,.868,5.8,6.7,78,78,38.5,Chris Paul,0.9,2.7,PG,22.8,2.8,NOH,3.0,5.5
24,2.5,AS,1.0,7.2,.492,.497,7.8,15.8,.245,0.2,0.6,.487,8.0,16.4,.817,6.5,8.0,77,77,38.0,Chris Bosh,2.8,2.5,C,22.7,0.9,TOR,2.3,10.0
24,5.1,"MVP-9,AS,NBA2",0.3,3.4,.512,.501,7.1,14.1,.377,1.1,2.8,.480,8.1,16.9,.824,5.3,6.5,78,78,37.2,Brandon Roy,1.3,1.6,SG,22.6,1.1,POR,1.9,4.7
32,1.9,,0.3,6.5,.507,.501,6.9,13.9,.351,1.4,3.9,.468,8.3,17.8,.754,4.2,5.6,81,81,38.2,Antawn Jamison,2.4,2.7,PF,22.2,1.2,WAS,1.5,8.9
26,6.9,"MVP-8,AS,NBA3",0.1,2.7,.513,.518,8.6,16.6,.292,0.3,0.9,.506,8.9,17.5,.782,3.9,5.0,72,71,34.1,Tony Parker,0.4,1.5,PG,22.0,0.9,SAS,2.6,3.1
27,5.8,AS,0.2,3.6,.489,.468,6.0,12.7,.360,1.9,5.2,.437,7.8,18.0,.826,3.8,4.6,79,79,39.5,Joe Johnson,0.8,2.2,SG,21.4,1.1,ATL,2.5,4.4
26,2.0,AS,1.1,5.9,.541,.540,7.6,14.0,.429,0.1,0.1,.539,7.6,14.1,.835,6.1,7.3,53,53,36.8,Amar'e Stoudemire,2.2,3.1,PF,21.4,0.9,PHO,2.8,8.1
25,6.9,AS,0.2,2.9,.469,.477,5.7,11.9,.291,0.9,3.2,.438,6.6,15.1,.820,7.2,8.8,69,69,36.1,Devin Harris,0.4,2.4,PG,21.3,1.7,NJN,3.1,3.3
28,2.3,AS,0.9,6.4,.474,.477,7.9,16.7,.240,0.1,0.3,.472,8.0,17.0,.884,4.8,5.5,76,76,39.2,David West,2.1,2.7,PF,21.0,0.6,NOH,2.1,8.5
27,2.1,,0.3,6.9,.494,.494,7.7,15.5,.330,0.6,1.9,.475,8.3,17.5,.734,3.6,4.9,50,45,35.1,Zach Randolph,3.1,2.7,PF,20.8,0.9,2TM,2.3,10.1
28,4.3,,0.3,4.4,.482,.487,6.4,13.1,.310,1.0,3.1,.453,7.3,16.2,.858,5.1,6.0,67,67,38.6,Caron Butler,1.8,2.5,SG,20.8,1.6,WAS,3.1,6.2
