age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
27,4.2,"MVP-2,AS,NBA2",1.5,9.6,.534,.529,8.4,15.9,.371,1.4,3.7,.499,9.8,19.6,.814,9.6,11.8,68,68,33.8,Joel Embiid,2.1,2.7,C,30.6,1.1,PHI,3.1,11.7
37,6.2,"MVP-10,AS,NBA3",1.1,7.1,.590,.620,8.6,13.8,.359,2.9,8.0,.524,11.4,21.8,.756,4.5,6.0,56,56,37.2,LeBron James,1.1,2.2,C,30.3,1.3,LAL,3.5,8.2
27,5.8,"MVP-3,DPOY-6,AS,NBA1",1.4,9.6,.582,.616,9.2,15.0,.293,1.1,3.6,.553,10.3,18.6,.722,8.3,11.4,67,67,32.9,Giannis Antetokounmpo,2.0,3.2,PF,29.9,1.1,MIL,3.3,11.6
33,6.4,"MVP-10,AS,NBA2",0.9,6.9,.570,.568,8.4,14.8,.383,2.1,5.5,.518,10.5,20.3,.910,6.8,7.4,55,55,37.2,Kevin Durant,0.5,2.1,PF,29.9,0.9,BRK,3.5,7.4
22,8.7,"MVP-5,AS,NBA1",0.6,8.3,.529,.528,6.8,12.8,.353,3.1,8.8,.457,9.9,21.6,.744,5.6,7.5,65,65,35.4,Luka DonÄiÄ,0.9,2.2,PG,28.4,1.2,DAL,4.5,9.1
23,9.7,"AS,NBA3",0.1,3.1,.536,.512,6.3,12.3,.382,3.1,8.0,.460,9.4,20.3,.904,6.6,7.3,76,76,34.9,Trae Young,0.7,1.7,PG,28.4,0.9,ATL,4.0,3.7
32,4.9,"MVP-10,AS,NBA2",0.3,4.4,.521,.520,9.5,18.3,.352,0.7,1.9,.504,10.2,20.2,.877,6.8,7.8,76,76,36.1,DeMar DeRozan,0.7,2.3,PF,27.9,0.9,CHI,2.4,5.2
22,6.7,"MVP-7,MIP-1,AS,NBA2",0.4,4.4,.530,.534,8.6,16.2,.344,1.5,4.5,.493,10.2,20.6,.761,5.5,7.3,57,57,33.1,Ja Morant,1.4,1.5,PG,27.4,1.2,MEM,3.4,5.7
26,7.9,"MVP-1,AS,NBA1",0.9,11.0,.620,.652,9.0,13.8,.337,1.3,3.9,.583,10.3,17.7,.810,5.1,6.3,74,74,33.5,Nikola JokiÄ,2.8,2.6,C,27.1,1.5,DEN,3.8,13.8
23,4.4,"MVP-6,AS,NBA1",0.6,6.9,.526,.524,6.3,12.0,.353,3.0,8.6,.453,9.3,20.6,.853,5.3,6.2,76,76,35.9,Jayson Tatum,1.1,2.3,SF,26.9,1.0,BOS,2.9,8.0
25,4.8,"MVP-4,AS,NBA1",0.4,4.4,.530,.508,7.0,13.9,.383,2.7,7.0,.466,9.7,20.9,.868,4.6,5.3,68,68,34.5,Devin Booker,0.7,2.6,SG,26.8,1.1,PHO,2.4,5.0
25,5.3,AS,0.2,3.4,.533,.533,5.7,10.8,.355,3.5,9.8,.448,9.2,20.5,.853,4.0,4.7,67,67,33.8,Donovan Mitchell,0.8,2.4,SG,25.9,1.5,UTA,3.0,4.2
33,6.3,"MVP-8,AS,NBA2",0.4,4.7,.554,.527,3.9,7.4,.380,4.5,11.7,.437,8.4,19.1,.923,4.3,4.7,64,64,34.5,Stephen Curry,0.5,2.0,PG,25.5,1.3,GSW,3.2,5.2
