age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
26,5.5,"MVP-9,AS,NBA2",0.2,3.8,.422,.419,9.8,23.4,.291,1.3,4.5,.398,11.1,27.8,.812,7.9,9.8,60,59,43.7,Allen Iverson,0.7,1.7,SG,31.4,2.8,PHI,4.0,4.5
29,3.0,"MVP-3,AS,NBA1",2.0,7.2,.579,.580,10.6,18.3,.000,0.0,0.0,.579,10.6,18.3,.555,5.9,10.7,67,66,36.1,Shaquille O'Neal,3.5,3.0,C,27.2,0.6,LAL,2.6,10.7
24,3.2,"MVP-11,AS,NBA3",1.0,5.9,.508,.461,6.1,13.1,.404,2.6,6.3,.442,8.6,19.5,.809,6.3,7.8,82,82,40.3,Paul Pierce,1.0,2.9,SG,26.1,1.9,BOS,2.9,6.9
22,5.3,"MVP-4,AS,NBA1",1.0,5.9,.483,.470,8.1,17.1,.364,1.4,3.7,.451,9.4,20.9,.748,5.5,7.3,76,76,38.3,Tracy McGrady,2.0,1.8,SG,25.6,1.6,ORL,2.5,7.9
25,3.7,"MVP-1,AS,NBA1",2.5,9.4,.508,.511,9.3,18.2,.100,0.0,0.1,.508,9.3,18.3,.799,6.8,8.5,82,82,40.6,Tim Duncan,3.3,2.6,PF,25.5,0.7,SAS,3.2,12.7
23,5.5,"MVP-5,DPOY-3,AS,NBA1",0.4,4.1,.479,.489,9.0,18.3,.250,0.4,1.7,.469,9.4,20.0,.829,6.1,7.4,80,80,38.3,Kobe Bryant,1.4,2.9,SG,25.2,1.5,LAL,2.8,5.5
25,4.0,AS,0.7,2.9,.474,.441,7.3,16.6,.387,2.0,5.2,.428,9.3,21.8,.798,4.1,5.1,60,60,39.8,Vince Carter,2.3,3.2,SG,24.7,1.6,TOR,2.6,5.2
28,4.8,"MVP-7,AS,NBA2",1.4,7.3,.497,.499,9.8,19.6,.263,0.1,0.4,.495,9.9,19.9,.749,4.7,6.3,54,54,38.4,Chris Webber,2.8,3.4,PF,24.5,1.7,SAC,2.9,10.1
23,2.4,"MVP-8,AS,NBA2",1.0,8.4,.532,.508,6.1,11.9,.397,1.8,4.6,.477,7.9,16.6,.853,5.8,6.8,76,76,38.0,Dirk Nowitzki,1.6,2.9,C,23.4,1.1,DAL,1.9,9.9
38,5.2,"MVP-13,AS",0.4,4.8,.420,.426,9.0,21.2,.189,0.2,0.9,.416,9.2,22.1,.790,4.4,5.6,60,53,34.9,Michael Jordan,0.8,2.0,SF,22.9,1.4,WAS,2.7,5.7
