age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
25,5.5,"MVP-1,AS,NBA1",0.7,6.7,.560,.549,8.1,14.8,.391,2.4,6.1,.503,10.5,20.8,.873,8.7,9.9,81,81,38.5,Kevin Durant,0.7,2.1,SF,32.0,1.3,OKC,3.5,7.4
29,3.1,"MVP-15,AS",0.7,6.2,.503,.469,7.5,15.9,.402,2.2,5.4,.452,9.6,21.3,.848,6.0,7.0,77,77,38.7,Carmelo Anthony,1.9,2.9,PF,27.4,1.2,NYK,2.6,8.1
29,6.3,"MVP-2,DPOY-6,AS,NBA1",0.3,5.9,.610,.622,8.5,13.6,.379,1.5,4.0,.567,10.0,17.6,.750,5.7,7.6,77,77,37.7,LeBron James,1.1,1.6,PF,27.1,1.6,MIA,3.5,6.9
25,4.4,"MVP-11,AS,NBA2",0.5,9.6,.524,.502,6.0,11.9,.376,2.5,6.6,.457,8.4,18.5,.821,6.8,8.2,77,77,36.3,Kevin Love,2.9,1.8,PF,26.1,0.8,MIN,2.5,12.5
24,6.1,"MVP-5,AS,NBA1",0.4,3.9,.529,.515,5.1,9.9,.366,2.4,6.6,.456,7.5,16.5,.866,7.9,9.1,73,73,38.0,James Harden,0.8,2.4,SG,25.4,1.6,HOU,3.6,4.7
24,3.9,"MVP-3,AS,NBA2",0.6,7.1,.533,.537,8.8,16.4,.273,0.2,0.6,.528,9.0,17.0,.715,6.0,8.4,80,80,35.8,Blake Griffin,2.4,3.3,PF,24.1,1.2,LAC,2.8,9.5
25,8.5,"MVP-6,AS,NBA2",0.2,3.7,.566,.509,5.0,9.8,.424,3.3,7.9,.471,8.4,17.7,.885,3.9,4.5,78,78,36.5,Stephen Curry,0.6,2.5,PG,24.0,1.6,GSW,3.8,4.3
28,2.6,"MVP-10,AS,NBA3",1.0,8.7,.459,.461,9.4,20.4,.200,0.0,0.2,.458,9.4,20.6,.822,4.3,5.2,69,69,36.2,LaMarcus Aldridge,2.4,2.1,PF,23.2,0.9,POR,1.8,11.1
23,2.9,,1.3,8.6,.496,.499,8.3,16.7,.000,0.0,0.1,.496,8.3,16.8,.726,6.1,8.4,71,71,32.4,DeMarcus Cousins,3.1,3.8,C,22.7,1.5,SAC,3.5,11.7
24,4.0,AS,0.4,3.7,.452,.451,6.8,15.2,.305,0.8,2.7,.429,7.6,17.8,.824,6.6,8.0,79,79,38.2,DeMar DeRozan,0.6,2.5,SG,22.7,1.1,TOR,2.2,4.3
29,2.1,"MVP-8,NBA3",1.1,8.7,.510,.512,9.5,18.6,.200,0.0,0.2,.509,9.6,18.8,.690,2.6,3.8,73,73,35.0,Al Jefferson,2.1,2.4,C,21.8,0.9,CHA,1.7,10.8
25,6.9,,0.2,4.5,.480,.482,6.0,12.5,.318,1.5,4.7,.437,7.5,17.2,.826,5.3,6.4,46,46,30.7,Russell Westbrook,1.2,2.3,PG,21.8,1.9,OKC,3.8,5.7
23,3.5,"MVP-9,DPOY-7,AS,NBA3",0.3,6.0,.490,.458,4.9,10.8,.364,2.3,6.3,.424,7.2,17.0,.864,5.0,5.8,80,80,36.2,Paul George,0.8,2.5,SF,21.7,1.9,IND,2.8,6.8
35,2.7,"MVP-14,AS",0.6,5.7,.549,.532,6.3,11.8,.398,1.6,4.1,.497,7.9,15.9,.899,4.2,4.7,80,80,32.9,Dirk Nowitzki,0.5,2.1,PF,21.7,0.9,DAL,1.5,6.2
20,1.6,"DPOY-8,AS",2.8,7.0,.520,.522,7.8,14.9,.222,0.0,0.1,.519,7.8,15.0,.791,5.2,6.6,67,66,35.2,Anthony Davis,3.1,3.0,PF,20.8,1.3,NOP,1.6,10.0
21,6.1,AS,0.3,2.9,.480,.458,5.8,12.6,.358,1.7,4.8,.430,7.5,17.4,.861,4.1,4.8,71,71,35.2,Kyrie Irving,0.7,2.3,PG,20.8,1.5,CLE,2.7,3.6
23,5.6,"AS,NBA3",0.3,3.1,.508,.447,4.1,9.1,.394,2.7,6.8,.424,6.7,15.9,.871,4.5,5.2,82,82,35.8,Damian Lillard,0.4,2.4,PG,20.7,0.8,POR,2.4,3.5
27,5.9,"MVP-16,MIP-1,NBA3",0.3,2.3,.561,.542,5.7,10.4,.408,1.6,3.9,.505,7.3,14.4,.760,4.2,5.5,76,75,35.1,Goran DragiÄ,0.9,2.7,SG,20.3,1.4,PHO,2.8,3.2
24,6.3,,0.1,2.3,.510,.504,5.1,10.2,.349,1.8,5.1,.453,6.9,15.2,.850,4.8,5.7,72,54,34.7,Isaiah Thomas,0.7,2.6,PG,20.3,1.3,SAC,3.0,2.9
27,2.9,,0.8,4.4,.483,.481,6.5,13.5,.330,0.9,2.7,.455,7.4,16.2,.822,4.4,5.3,73,73,34.7,Rudy Gay,1.5,2.3,SF,20.0,1.3,2TM,3.1,6.0
23,8.8,AS,0.5,3.6,.473,.458,5.7,12.5,.351,1.3,3.8,.433,7.1,16.3,.805,3.9,4.8,82,82,36.3,John Wall,0.5,2.7,PG,19.3,1.8,WAS,3.6,4.1
