age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
26,8.6,"MVP-4,AS,NBA2",0.2,5.4,.455,.457,8.1,17.7,.299,1.3,4.3,.426,9.4,22.0,.835,8.1,9.8,67,67,34.4,Russell Westbrook,1.9,2.7,PG,28.1,2.1,OKC,4.4,7.3
25,7.0,"MVP-2,AS,NBA1",0.7,4.7,.511,.480,5.4,11.3,.375,2.6,6.9,.440,8.0,18.1,.868,8.8,10.2,81,81,36.8,James Harden,0.9,2.6,SG,27.4,1.9,HOU,4.0,5.7
30,7.4,"MVP-3,DPOY-13,AS,NBA1",0.7,5.3,.535,.536,7.3,13.6,.354,1.7,4.9,.488,9.0,18.5,.710,5.4,7.7,69,69,36.1,LeBron James,0.7,2.0,SF,25.3,1.6,CLE,3.9,6.0
21,2.2,"MVP-5,DPOY-4,AS,NBA1",2.9,7.7,.536,.540,9.4,17.5,.083,0.0,0.2,.535,9.4,17.6,.805,5.5,6.8,68,68,36.1,Anthony Davis,2.5,2.1,PF,24.4,1.5,NOP,1.4,10.2
24,3.6,"AS,NBA2",1.7,9.5,.468,.469,8.4,17.9,.250,0.0,0.1,.467,8.4,18.1,.782,7.2,9.2,59,59,34.1,DeMarcus Cousins,3.1,4.1,C,24.1,1.5,SAC,4.3,12.7
26,7.7,"MVP-1,AS,NBA1",0.2,3.6,.594,.528,4.6,8.7,.443,3.6,8.1,.487,8.2,16.8,.914,3.9,4.2,80,80,32.7,Stephen Curry,0.7,2.0,PG,23.8,2.0,GSW,3.1,4.3
29,1.7,"MVP-7,AS,NBA2",1.0,7.7,.479,.475,8.8,18.5,.352,0.5,1.5,.466,9.3,19.9,.845,4.3,5.1,71,71,35.4,LaMarcus Aldridge,2.5,1.8,PF,23.4,0.7,POR,1.7,10.2
25,5.3,"MVP-8,AS,NBA3",0.5,5.7,.506,.504,8.4,16.7,.400,0.1,0.4,.502,8.6,17.1,.728,4.6,6.4,67,67,35.2,Blake Griffin,1.9,2.9,PF,21.9,0.9,LAC,2.3,7.6
22,5.2,"AS,NBA3",0.3,2.4,.532,.491,5.6,11.4,.415,2.1,5.0,.468,7.7,16.5,.863,4.2,4.9,75,75,36.4,Kyrie Irving,0.7,1.9,PG,21.7,1.5,CLE,2.5,3.2
24,2.9,"MVP-10,AS,NBA3",0.8,2.9,.555,.481,4.7,9.8,.439,3.1,7.1,.463,7.8,16.9,.879,2.9,3.3,77,77,31.9,Klay Thompson,0.4,1.6,SG,21.7,1.1,GSW,1.9,3.2
33,4.8,AS,0.3,2.6,.483,.489,7.7,15.8,.284,0.5,1.6,.470,8.2,17.5,.768,4.6,6.0,62,62,31.8,Dwyane Wade,0.9,1.7,SG,21.5,1.2,MIA,3.4,3.5
30,2.2,AS,0.6,6.0,.503,.485,6.4,13.1,.375,1.4,3.8,.460,7.8,16.9,.772,4.1,5.3,44,44,35.4,Chris Bosh,1.0,1.6,C,21.1,0.9,MIA,2.2,7.0
28,3.7,,0.6,4.4,.491,.479,6.3,13.2,.359,1.2,3.2,.455,7.5,16.4,.858,5.0,5.8,68,67,35.4,Rudy Gay,1.4,2.3,SF,21.1,1.0,SAC,2.7,5.9
24,6.2,AS,0.3,4.0,.506,.500,4.8,9.6,.343,2.4,7.0,.434,7.2,16.6,.864,4.2,4.9,82,82,35.7,Damian Lillard,0.6,2.0,PG,21.0,1.2,POR,2.7,4.6
25,3.5,,0.2,3.9,.426,.426,6.4,15.0,.284,0.4,1.5,.413,6.8,16.5,.832,6.0,7.2,60,60,35.0,DeMar DeRozan,0.7,2.0,SG,20.1,1.2,TOR,2.3,4.6
