age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
23,3.5,"MVP-2,AS,NBA1",1.2,7.4,.547,.535,7.7,14.4,.387,2.0,5.2,.496,9.7,19.7,.860,6.5,7.6,66,66,38.6,Kevin Durant,0.6,2.0,SF,28.0,1.3,OKC,3.8,8.0
33,4.6,"MVP-4,AS,NBA1",0.3,4.3,.462,.464,8.4,18.1,.303,1.5,4.9,.430,9.9,23.0,.845,6.6,7.8,58,58,38.5,Kobe Bryant,1.1,1.8,SG,27.9,1.2,LAL,3.5,5.4
27,6.2,"MVP-1,DPOY-4,AS,NBA1",0.8,6.4,.554,.556,9.1,16.5,.362,0.9,2.4,.531,10.0,18.9,.771,6.2,8.1,62,62,37.5,LeBron James,1.5,1.5,SF,27.1,1.9,MIA,3.4,7.9
23,2.0,"MVP-6,AS,NBA2",0.5,9.2,.497,.475,6.7,14.1,.372,1.9,5.1,.448,8.6,19.3,.824,6.9,8.4,55,55,39.0,Kevin Love,4.1,2.8,PF,26.0,0.9,MIN,2.3,13.3
23,5.5,"MVP-12,DPOY-18,AS,NBA2",0.3,3.1,.481,.482,7.8,16.2,.316,0.9,3.0,.457,8.8,19.2,.823,5.2,6.3,66,66,35.3,Russell Westbrook,1.5,2.2,PG,23.6,1.7,OKC,3.6,4.6
27,3.6,"AS,NBA3",0.4,4.7,.463,.454,6.8,14.9,.335,1.2,3.7,.430,8.0,18.6,.804,5.4,6.7,55,55,34.1,Carmelo Anthony,1.6,2.8,SF,22.6,1.1,NYK,2.6,6.3
30,4.6,"MVP-10,DPOY-18,AS,NBA3",1.3,3.3,.506,.513,8.2,15.9,.268,0.3,1.1,.497,8.5,17.1,.791,4.8,6.1,49,49,33.2,Dwyane Wade,1.5,2.2,SG,22.1,1.7,MIA,2.6,4.8
26,2.4,AS,0.8,5.3,.513,.516,8.7,16.9,.182,0.0,0.2,.512,8.8,17.1,.814,4.1,5.0,55,55,36.3,LaMarcus Aldridge,2.7,2.8,PF,21.7,0.9,POR,2.0,8.0
33,2.2,"MVP-12,AS,NBA3",0.5,6.0,.495,.481,6.4,13.3,.368,1.3,3.4,.457,7.6,16.7,.896,5.1,5.7,62,62,33.5,Dirk Nowitzki,0.7,2.1,PF,21.6,0.7,DAL,1.9,6.7
27,8.7,AS,0.4,2.9,.467,.446,5.0,11.3,.336,2.1,6.2,.407,7.1,17.5,.843,4.7,5.5,55,55,36.3,Deron Williams,0.4,2.2,PG,21.0,1.2,NJN,4.0,3.3
