age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
28,8.8,"MVP-1,AS,NBA1",0.7,4.8,.541,.531,5.4,10.1,.367,3.7,10.0,.449,9.0,20.1,.858,8.7,10.1,72,72,35.4,James Harden,0.6,2.3,SG,30.4,1.8,HOU,4.4,5.4
24,2.3,"MVP-3,DPOY-3,AS,NBA1",2.6,8.6,.552,.558,9.7,17.3,.340,0.7,2.2,.534,10.4,19.5,.828,6.6,8.0,75,75,36.4,Anthony Davis,2.5,2.1,PF,28.1,1.5,NOP,2.2,11.1
33,9.1,"MVP-2,AS,NBA1",0.9,7.5,.590,.603,8.6,14.3,.367,1.8,5.0,.542,10.5,19.3,.731,4.7,6.5,82,82,36.9,LeBron James,1.2,1.7,PF,27.5,1.4,CLE,4.2,8.6
23,4.8,"MVP-6,AS,NBA2",1.4,8.0,.545,.554,9.3,16.8,.307,0.6,1.9,.529,9.9,18.7,.760,6.5,8.5,75,75,36.7,Giannis Antetokounmpo,2.1,3.1,PF,26.9,1.5,MIL,3.0,10.0
27,6.6,"MVP-4,AS,NBA1",0.4,3.6,.519,.501,5.4,10.8,.361,3.1,8.6,.439,8.5,19.4,.916,6.8,7.4,73,73,36.6,Damian Lillard,0.8,1.6,PG,26.9,1.1,POR,2.8,4.5
29,6.1,"MVP-10,AS,NBA3",0.2,4.4,.618,.595,4.2,7.1,.423,4.2,9.8,.495,8.4,16.9,.921,5.5,5.9,51,51,32.0,Stephen Curry,0.7,2.2,PG,26.4,1.6,GSW,3.0,5.1
29,5.4,"MVP-7,DPOY-9,AS,NBA1",1.8,6.4,.586,.565,6.7,11.9,.419,2.5,6.1,.516,9.3,18.0,.889,5.3,5.9,68,68,34.2,Kevin Durant,0.5,2.0,SF,26.4,0.7,GSW,3.0,6.8
29,10.3,"MVP-5,AS,NBA2",0.3,8.2,.477,.485,8.3,17.0,.298,1.2,4.1,.449,9.5,21.1,.737,5.2,7.1,80,80,36.4,Russell Westbrook,1.9,2.5,PG,25.4,1.8,OKC,4.8,10.1
27,5.4,AS,1.6,10.7,.530,.530,6.3,11.9,.354,2.2,6.1,.470,8.5,18.0,.746,6.1,8.2,48,48,36.2,DeMarcus Cousins,2.2,3.8,C,25.2,1.6,NOP,5.0,12.9
21,4.7,,0.3,4.0,.501,.460,5.7,12.4,.383,2.7,7.1,.432,8.4,19.5,.878,5.4,6.1,54,54,34.5,Devin Booker,0.5,3.1,SG,24.9,0.9,PHO,3.6,4.5
25,5.1,AS,0.3,3.2,.568,.541,6.1,11.3,.408,2.8,6.8,.491,8.9,18.1,.889,3.9,4.4,60,60,32.2,Kyrie Irving,0.6,2.0,PG,24.4,1.1,BOS,2.3,3.8
32,2.0,"MVP-9,AS,NBA2",1.2,5.2,.520,.526,8.8,16.7,.293,0.4,1.2,.510,9.2,18.0,.837,4.5,5.3,75,75,33.5,LaMarcus Aldridge,3.3,2.1,C,23.1,0.6,SAS,1.5,8.5
25,4.3,"MVP-13,DPOY-15,MIP-1,AS,NBA3",0.8,4.6,.537,.528,6.4,12.1,.371,2.1,5.8,.477,8.5,17.9,.799,3.9,4.9,75,75,34.0,Victor Oladipo,0.6,2.3,SG,23.1,2.4,IND,2.9,5.2
28,5.2,"MVP-8,AS,NBA2",0.3,3.2,.488,.494,7.0,14.1,.310,1.1,3.6,.456,8.1,17.7,.825,5.8,7.0,80,80,33.9,DeMar DeRozan,0.7,1.9,SG,23.0,1.1,TOR,2.2,3.9
23,3.2,"MVP-12,DPOY-2,AS,NBA2",1.8,8.7,.514,.527,7.0,13.4,.308,1.0,3.4,.483,8.1,16.8,.769,5.7,7.4,63,63,30.3,Joel Embiid,2.3,3.3,C,22.9,0.6,PHI,3.7,11.0
22,1.2,AS,2.4,5.3,.489,.454,6.3,13.8,.395,1.9,4.8,.439,8.1,18.5,.793,4.5,5.7,48,48,32.4,Kristaps PorziÅÄ£is,1.3,2.9,PF,22.7,0.8,NYK,1.9,6.6
24,4.5,AS,0.4,3.7,.527,.507,5.9,11.6,.375,2.4,6.5,.460,8.3,18.1,.791,3.6,4.5,82,82,36.3,Bradley Beal,0.7,2.0,SG,22.6,1.2,WAS,2.6,4.4
31,5.3,6MOY-1,0.2,2.0,.505,.484,5.0,10.4,.359,2.4,6.6,.435,7.4,16.9,.880,5.5,6.2,79,19,32.8,Lou Williams,0.5,1.3,SG,22.6,1.1,LAC,3.0,2.5
28,4.9,"MVP-10,DPOY-12,AS,NBA3",0.4,4.0,.512,.509,6.2,12.2,.350,1.2,3.4,.474,7.4,15.6,.854,6.2,7.2,59,59,36.7,Jimmy Butler,1.3,1.3,SG,22.2,2.0,MIN,1.8,5.3
27,5.6,AS,0.3,2.7,.516,.469,4.5,9.5,.384,2.9,7.5,.431,7.4,17.0,.864,4.5,5.3,80,80,34.2,Kemba Walker,0.4,1.2,PG,22.1,1.1,CHO,2.2,3.1
27,3.3,"DPOY-4,AS,NBA3",0.5,4.7,.521,.454,4.2,9.3,.401,3.1,7.7,.430,7.3,17.0,.822,4.3,5.2,79,79,36.6,Paul George,0.9,2.9,SF,21.9,2.0,OKC,2.7,5.7
28,5.8,,0.3,6.1,.493,.482,5.6,11.6,.345,1.9,5.6,.438,7.5,17.2,.785,4.5,5.7,58,58,34.0,Blake Griffin,1.3,2.4,PF,21.4,0.7,2TM,2.8,7.4
26,3.4,,0.4,3.3,.506,.465,5.9,12.7,.397,2.3,5.9,.443,8.2,18.6,.836,2.6,3.1,81,81,36.1,CJ McCollum,0.7,2.1,SG,21.4,1.0,POR,1.9,4.0
22,2.4,"AS,NBA3",1.4,9.4,.596,.585,6.3,10.8,.421,1.5,3.5,.545,7.8,14.3,.858,4.2,4.9,82,82,35.6,Karl-Anthony Towns,2.9,3.5,C,21.3,0.8,MIN,1.9,12.3
21,3.7,ROY-2,0.3,3.1,.506,.502,5.2,10.3,.340,2.4,7.0,.437,7.5,17.2,.805,3.0,3.8,79,71,33.4,Donovan Mitchell,0.7,2.7,SG,20.5,1.5,UTA,2.7,3.7
