age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
27,6.7,"MVP-1,AS,NBA1",0.2,4.6,.630,.566,5.1,9.0,.454,5.1,11.2,.504,10.2,20.2,.908,4.6,5.1,79,79,34.2,Stephen Curry,0.9,2.0,PG,30.1,2.1,GSW,3.3,5.4
26,7.5,"MVP-9,AS",0.6,5.3,.512,.494,5.8,11.7,.359,2.9,8.0,.439,8.7,19.7,.860,8.8,10.2,82,82,38.1,James Harden,0.8,2.8,SG,29.0,1.7,HOU,4.6,6.1
27,5.0,"MVP-5,AS,NBA2",1.2,7.6,.573,.569,7.1,12.5,.387,2.6,6.7,.505,9.7,19.2,.898,6.2,6.9,72,72,35.8,Kevin Durant,0.6,1.9,SF,28.2,1.0,OKC,3.5,8.2
25,3.3,"AS,NBA2",1.4,9.1,.477,.473,8.2,17.3,.333,1.1,3.2,.451,9.2,20.5,.718,7.3,10.2,65,65,34.6,DeMarcus Cousins,2.4,3.6,C,26.9,1.6,SAC,3.8,11.5
31,6.8,"MVP-3,DPOY-11,AS,NBA1",0.6,6.0,.551,.573,8.6,14.9,.309,1.1,3.7,.520,9.7,18.6,.731,4.7,6.5,76,76,35.6,LeBron James,1.5,1.9,SF,25.3,1.4,CLE,3.3,7.4
25,6.8,"MVP-8,NBA2",0.4,3.4,.497,.450,5.2,11.5,.375,3.1,8.1,.419,8.2,19.7,.892,5.5,6.2,75,75,35.7,Damian Lillard,0.6,2.2,PG,25.1,0.9,POR,3.2,4.0
22,1.9,"DPOY-9,AS",2.0,8.1,.508,.511,8.6,16.9,.324,0.6,1.8,.493,9.2,18.6,.758,5.3,7.0,61,61,35.5,Anthony Davis,2.1,2.4,C,24.3,1.3,NOP,2.0,10.3
26,4.0,AS,0.3,3.7,.463,.458,7.3,15.9,.338,0.6,1.8,.446,7.9,17.7,.850,7.1,8.4,78,78,35.9,DeMar DeRozan,0.8,2.1,SG,23.5,1.0,TOR,2.2,4.5
27,10.4,"MVP-4,AS,NBA1",0.3,6.0,.489,.503,6.9,13.8,.296,1.3,4.3,.454,8.2,18.1,.812,5.8,7.2,80,80,34.4,Russell Westbrook,1.8,2.5,PG,23.5,2.0,OKC,4.3,7.8
25,4.1,"AS,NBA3",0.4,6.0,.490,.447,4.9,10.9,.371,2.6,7.0,.418,7.5,17.9,.860,5.6,6.5,81,81,34.8,Paul George,1.0,2.8,SF,23.1,1.9,IND,3.3,7.0
26,6.2,AS,0.1,2.4,.488,.462,5.2,11.2,.359,2.0,5.7,.428,7.2,16.9,.871,5.8,6.6,82,79,32.2,Isaiah Thomas,0.6,2.0,PG,22.2,1.1,BOS,2.7,3.0
25,2.1,"AS,NBA3",0.6,3.4,.569,.510,4.7,9.2,.425,3.5,8.1,.470,8.1,17.3,.873,2.4,2.8,80,80,33.3,Klay Thompson,0.4,1.9,SG,22.1,0.8,GSW,1.7,3.8
31,4.2,AS,0.5,6.4,.474,.463,6.4,13.8,.339,1.5,4.3,.434,7.9,18.2,.829,4.6,5.6,72,72,35.1,Carmelo Anthony,1.4,2.5,SF,21.8,0.9,NYK,2.4,7.7
24,2.6,"MVP-2,DPOY-1,AS,NBA1",1.0,5.5,.565,.528,5.9,11.1,.443,1.8,4.0,.506,7.7,15.1,.874,4.1,4.6,72,72,33.1,Kawhi Leonard,1.3,1.8,SF,21.2,1.8,SAS,1.5,6.8
29,6.4,"MVP-10,DPOY-13,AS,NBA3",0.4,4.0,.516,.461,3.9,8.5,.388,2.8,7.1,.427,6.6,15.6,.811,5.2,6.4,77,77,37.0,Kyle Lowry,0.7,2.7,PG,21.2,2.1,TOR,2.9,4.7
26,4.8,"DPOY-11,AS",0.6,4.2,.485,.489,6.1,12.4,.312,1.0,3.1,.454,7.0,15.4,.832,5.9,7.1,67,67,36.9,Jimmy Butler,1.2,1.9,SG,20.9,1.6,CHI,2.0,5.3
25,5.2,,0.5,3.7,.495,.459,4.8,10.4,.371,2.2,6.0,.427,7.0,16.4,.847,4.6,5.4,81,81,35.6,Kemba Walker,0.7,1.4,PG,20.9,1.6,CHO,2.1,4.4
24,4.3,MIP-1,0.3,2.7,.517,.463,5.6,12.0,.417,2.5,5.9,.448,8.0,17.9,.827,2.3,2.8,80,80,34.8,CJ McCollum,0.6,2.3,SG,20.8,1.2,POR,2.5,3.2
20,2.0,,0.6,2.3,.481,.486,6.6,13.6,.300,0.7,2.3,.459,7.3,16.0,.761,5.3,7.0,81,81,35.1,Andrew Wiggins,1.3,2.0,SF,20.7,1.0,MIN,2.2,3.6
27,2.0,,1.7,5.1,.512,.515,8.1,15.7,.143,0.0,0.2,.511,8.1,15.8,.787,4.3,5.5,73,73,33.7,Brook Lopez,2.8,2.9,C,20.6,0.8,BRK,2.4,7.8
25,10.2,AS,0.8,4.4,.467,.448,5.9,13.3,.351,1.5,4.3,.424,7.4,17.5,.791,3.5,4.5,77,77,36.2,John Wall,0.5,2.1,PG,19.9,1.9,WAS,4.1,4.9
25,3.7,,0.3,4.2,.493,.477,4.7,9.9,.349,1.8,5.1,.433,6.5,15.0,.824,4.9,6.0,80,80,36.2,Gordon Hayward,0.8,2.3,SF,19.7,1.2,UTA,2.5,5.0
23,4.7,,0.3,2.1,.496,.502,5.8,11.6,.321,1.6,4.9,.448,7.4,16.6,.885,3.2,3.6,53,53,31.5,Kyrie Irving,0.8,2.0,PG,19.6,1.1,CLE,2.3,3.0
24,5.1,,0.4,3.2,.482,.461,4.8,10.5,.342,2.3,6.8,.415,7.1,17.2,.852,3.0,3.5,52,50,36.0,Brandon Knight,0.7,2.4,SG,19.6,1.2,PHO,3.4,3.9
27,2.5,,0.4,4.3,.472,.434,3.8,8.7,.364,1.6,4.5,.410,5.4,13.2,.868,7.1,8.2,53,53,34.7,Danilo Gallinari,1.0,1.6,SF,19.5,0.8,DEN,1.5,5.3
30,10.0,"MVP-6,DPOY-13,AS,NBA2",0.2,3.7,.517,.501,5.3,10.6,.371,1.6,4.4,.462,7.0,15.1,.896,4.0,4.4,74,74,32.7,Chris Paul,0.5,2.5,PG,19.5,2.1,LAC,2.6,4.2
31,2.4,AS,0.6,6.5,.520,.508,5.2,10.3,.365,1.5,4.2,.467,6.8,14.5,.795,4.0,5.1,53,53,33.5,Chris Bosh,0.9,1.9,PF,19.1,0.7,MIA,1.5,7.4
34,4.6,AS,0.6,3.0,.459,.468,7.2,15.4,.159,0.1,0.6,.456,7.3,16.0,.793,4.4,5.5,74,73,30.5,Dwyane Wade,1.1,1.6,SG,19.0,1.1,MIA,2.7,4.1
